manuscript_figure,latex_label,figure_file,producing_script,pipeline_stage,input_data,needs_agama,notes
Table 1,tab:validation,(in-text tabular),code/03_multi_profile_analysis/multi_profile_analysis.py (part1_validation),03,truncation_summary.csv,no,Effective SFE at the published Plummer/Dehnen survival thresholds vs the published values.
(dropped),fig:profiles / fig:localsfe,figures/fig1_density_profiles_rh.pdf + fig2_local_sfe_rh.pdf REMOVED,rebuild_paper_figures.py (fig1(),fig2()),08,-,no,"Merged into the single Fig. 1 (fig1_structure) in the shortening pass. fig2() is retained in the script but no longer called from __main__."
(dropped),fig:mcvalidation / fig:nbodyvalid,figures/fig12_mc_validation.pdf + fbound_published_families.pdf REMOVED,rebuild_paper_figures.py (fig12()) + mc_published_families.py --compare,08/05,-,-,"Merged into the single Fig. 7 (fig12_validation) in the shortening pass; the 2x2 King grid became one overlaid panel."
(dropped),fig:numerics,figures/figB1_numerics.pdf REMOVED,rebuild_paper_figures.py (figB1()),08,-,no,"Dropped in the shortening pass; the catastrophic-cancellation point survives as prose in App. B. figB1() retained in the script but no longer called."
(dropped),fig:energyprof,figures/fig7_energy_profiles.pdf REMOVED,code/02_king_sfe_mechanism/king_sfe_mechanism.py,02,-,no,"Dropped in the shortening pass together with the whole of former Appendix C; the mechanism it illustrated is carried quantitatively by eta in Fig. 4b. Still produced by king_sfe_mechanism.py."
(dropped),fig:slopes,figures/fig13_envelope_slopes.pdf REMOVED,rebuild_paper_figures.py (fig13()),08,envelope_slopes.csv,no,"Dropped in the figure-review pass; the p~2.2-2.5 point kept as two sentences in Sect. 6.4."
(data),-,-,code/05_mc_bound_fraction_agama/mc_bound_fraction_n1e5.py,05,mc_bound_fractions_n1e5.csv,yes,"15300 frozen-DF realizations at N=1e5: 150 seeds per (W0,SFE) on a grid refined across each transition by mc_refine_threshold.py. The single particle dataset behind the quoted thresholds and the Fig. 7a curves. ~2.5 h + ~40 min refinement."
(data),-,-,code/05_mc_bound_fraction_agama/mc_thresholds_n1e5.py,05,mc_thresholds_n1e5.csv,no,"Thresholds 0.3028/0.1897/0.0477/0.0193 for W0=3/6/9/12 with BOOTSTRAP sampling errors (~1e-4), plus the SFE-grid half-width for comparison. Seconds. adams_df_boundfraction.py prefers this file over re-deriving thresholds from per-realization rows."
(data),-,-,code/05_mc_bound_fraction_agama/mc_finiteN_scaling.py,05,mc_finiteN_scaling.csv,yes,"Survival probability vs N at fixed SFE, six values of N over two decades, W0=3 (SFE=0.30) and W0=9 (SFE=0.045), 150 seeds each with binomial errors. Quoted as a table in Sect. 4.3. ~40 min."
(check),-,-,code/04_adams_df_boundfraction/df_positivity_check.py,04,df_positivity.csv,no,"DF positivity across 20 models. Result in App. B: non-negative at every interior energy; only the final grid node can go negative (1 in 2000, King only), and it carries exactly zero phase-space weight. ~1 h."
